n_agents,num_drones,num_dogs,max_hops,Budget_m,Coverage_ratio,Prob_covered_ratio,Overlap_ratio,Victims_pct,Area_km2,Path_length_km,Likelihood,TD_Score,Time_first_victim,Efficiency_ratio,Latency,Elapsed_s,Comm_range,Evaporation_rate,Alert_evaporation_rate,Ever_explored_penalty,Agent_prob_gini,Mean_prob_swept,Total_prob_swept,Algorithm,Seed
5,5,0,1.0,100000,0.3041332104778202,0.5950509735768702,0.4512093741340406,48.0,12.11872221120414,499.88828998333975,0.11992873251438141,0.0003821586640122693,8.0,0.5487906258659594,1250.213657948827,6.2,250.0,0.01,0.005,0.0,0.048965915718143904,1411.8842250649818,7059.421125324909,comm_250,42
5,5,0,1.0,100000,0.33024000702031503,0.6226046897286409,0.37653247183565275,52.5,13.014233984293943,499.8953001003595,0.12511864304542542,0.002559475764893262,4.0,0.6234675281643473,1369.0070525105405,5.8,250.0,0.01,0.005,0.0,0.03665087626880381,1270.8778298632242,6354.389149316121,comm_250,123
5,5,0,1.0,100000,0.32835329735421875,0.6206869902160952,0.3788080019921972,57.49999999999999,13.025784672941132,499.9323528445322,0.12483027577400208,0.0023829887760981714,4.0,0.6211919980078028,1543.641210753901,5.2,250.0,0.01,0.005,0.0,0.08790897614512416,1272.142724850774,6360.713624253869,comm_250,456
5,5,0,1.0,100000,0.32730025009872316,0.6086336761867538,0.3434694596021827,53.5,12.962545566987664,499.89473873765394,0.12262376397848129,0.0003237572987024628,8.0,0.6565305403978173,1490.3419136064122,6.5,500.0,0.01,0.005,0.0,0.13325941079173598,1176.0302235879003,5880.151117939502,comm_500,42
5,5,0,1.0,100000,0.34070466412180245,0.6731145388092106,0.3253399365741344,57.49999999999999,13.47651909355758,499.91915360222515,0.13513131439685822,0.0025598725433957905,4.0,0.6746600634258656,1478.4542760221389,3.0,500.0,0.01,0.005,0.0,0.03678741775290839,1254.5135862637312,6272.567931318656,comm_500,123
5,5,0,1.0,100000,0.36858847790794613,0.706426432497788,0.2820699085548244,64.5,14.616898253956903,499.8677656836753,0.14176560938358307,0.0023291371815046574,4.0,0.7179300914451756,1532.602324425584,5.6,500.0,0.01,0.005,0.0,0.09391944896018223,1223.9210270375013,6119.605135187507,comm_500,456
5,5,0,1.0,100000,0.37701285595191086,0.7438040127480221,0.18073035850495806,63.5,14.953160097969809,499.9176975606721,0.14936932921409607,0.00032710362139927717,8.0,0.819269641495042,1357.7772558367806,5.8,1000.0,0.01,0.005,0.0,0.13705995518705683,1100.4878746941686,5502.439373470843,comm_1000,42
5,5,0,1.0,100000,0.34474134526786887,0.7095578200588025,0.2468727534148095,62.5,13.677996424018412,499.91790557529765,0.14273765683174133,0.002586158799857502,4.0,0.7531272465851905,1382.2527079608792,4.7,1000.0,0.01,0.005,0.0,0.11257151809307886,1158.2898837037385,5791.449418518692,comm_1000,123
5,5,0,1.0,100000,0.3789434425869861,0.7132880341550554,0.26003512830398834,65.0,14.981222637823965,499.90874126240954,0.14341901242733002,0.002394729077945829,4.0,0.7399648716960117,1436.3490737979255,5.4,1000.0,0.01,0.005,0.0,0.13313093440292656,1203.2846050800756,6016.423025400378,comm_1000,456
5,5,0,1.0,100000,0.3909437936027379,0.7312139913814091,0.1154132539091586,70.5,15.553443459871978,499.89860985614877,0.14660263061523438,0.0007334716479462337,10.0,0.8845867460908414,1397.597114030297,6.3,2000.0,0.01,0.005,0.0,0.14382543576046003,946.930784745887,4734.653923729435,comm_2000,42
5,5,0,1.0,100000,0.39052696239743756,0.7312559525717931,0.12193557934198195,72.5,15.543709449470802,499.85616983550455,0.14670372009277344,0.001114080557871595,9.0,0.878064420658018,1366.802129626868,5.3,2000.0,0.01,0.005,0.0,0.16179595963026627,953.1575160168111,4765.787580084056,comm_2000,123
5,5,0,1.0,100000,0.38004036681146064,0.6745549443773883,0.1853750293910181,65.5,15.03881286440061,499.9005551083827,0.13506491482257843,0.0011979137959676825,12.0,0.8146249706089819,1316.8436785550982,5.7,2000.0,0.01,0.005,0.0,0.15281619376584565,975.8173962693661,4879.086981346831,comm_2000,456
5,5,0,1.0,100000,0.36316967223904173,0.5503225241481907,0.16864202490960226,59.5,14.414720199782394,499.9228271461228,0.11056353896856308,0.001605037209606777,13.0,0.8313579750903978,1460.903191442789,38.7,5000.0,0.01,0.005,0.0,0.07787341126051439,792.449212102592,3962.24606051296,comm_5000,42
5,5,0,1.0,100000,0.36316967223904173,0.5503225241481907,0.16864202490960226,59.5,14.414720199782394,499.9228271461228,0.11056353896856308,0.001605037209606777,19.0,0.8313579750903978,1460.903191442789,39.6,5000.0,0.01,0.005,0.0,0.07787341126051439,792.449212102592,3962.24606051296,comm_5000,123
5,5,0,1.0,100000,0.36316967223904173,0.5503225241481907,0.16864202490960226,56.99999999999999,14.414720199782394,499.9228271461228,0.11056353896856308,0.001605037209606777,8.0,0.8313579750903978,1460.903191442789,31.1,5000.0,0.01,0.005,0.0,0.07787341126051439,792.449212102592,3962.24606051296,comm_5000,456
