Seed,Agent_id,Agent_type,Cumulative_prob_swept,Cells_explored
42,drone_0,drone,931.0271167084575,4383
42,drone_1,drone,1335.4808881245553,4734
42,drone_2,drone,1335.658484209329,4738
42,dog_0,robot_dog,930.698714017868,2391
42,dog_1,robot_dog,730.9339527785778,2100
123,drone_0,drone,1316.5842504352331,5004
123,drone_1,drone,1501.6246673613787,4971
123,drone_2,drone,1413.2125599440187,4590
123,dog_0,robot_dog,799.455002553761,2433
123,dog_1,robot_dog,877.7760486528277,2289
456,drone_0,drone,1265.1222024876624,5400
456,drone_1,drone,1415.954965800047,4906
456,drone_2,drone,1477.9309572838247,4885
456,dog_0,robot_dog,713.8795810341835,2142
456,dog_1,robot_dog,1043.273460574448,2540
